zip,pct_m_bach,pct_f_bach
54428,12.7,20.4
54430,24.5,4.3
54433,12.5,15.7
54435,13.2,14.7
54436,8.2,10.6
54437,9.8,19.2
54440,10.2,19.6
54441,25,30.5
54442,15.4,15.1
54443,15.8,19.4
54446,9.3,13.5
54447,15.5,14.5
54448,15.5,21
54449,28.4,28.9
54450,3.8,13
54451,12.1,16.6
54452,15.5,18
54454,7.5,14.3
54455,25.9,29.6
54456,11.6,15.7
54457,15.2,14.9
54458,32.1,24.2
54459,14.8,13.8
54460,9.2,14.1
54462,4.5,10.1
54463,19.2,16.9
54465,8.1,10.2
54466,14.3,20
54467,33.4,31.7
54469,24.3,23.6
54470,12.3,15.9
54471,18.6,25.7
54473,13.4,16.6
54474,19.4,26.3
54475,11.5,16.7
54476,23.5,27.2
54479,10.8,17.3
54480,12.3,10
54481,33,36.3
54482,30.2,33.2
54484,15.7,20.7
54485,17.9,15.6
54486,8.7,16.4
54487,16.7,17.3
54488,5.7,8.1
54489,10.5,15.7
54490,13.1,15.1
54491,11.6,11.1
54493,9.2,12.8
54494,19.3,20
54495,11.8,14.9
54498,4.6,9.1
54499,14.7,16
54501,23.3,26.1
54511,9.3,14
54512,41.6,36
54513,10.9,10.3
54514,15.2,15.9
54515,7.2,11.8
54517,23.6,6.7
54519,19.3,29.8
54520,11.3,16.2
54521,23.7,27
54524,15,18.9
54525,11.8,15.9
54526,10.1,16.1
54527,12.4,12.4
54529,25.1,21
54530,7.4,10.2
54531,24.3,39.2
54534,16,19.7
54536,16.1,15.3
54537,10.3,15.4
54538,29.6,19.7
54539,19.4,29.2
54540,34.1,22
54541,13,19.8
54542,6.3,6.5
54545,43.5,36
54546,10.8,12
54547,24.3,20.5
54548,34.3,31.2
54550,23.6,26.6
54552,18.1,16.2
54554,22.2,28.9
54555,18.8,18.2
54556,9.8,13
54557,37.5,40.2
54558,21.9,25.6
54559,10.5,17.6
54560,18.7,42.1
54561,72,16.7
54562,38.2,38.2
54563,13.2,24.8
54564,4.1,7.4
54565,24.1,25
54566,8.9,17.5
54568,23.4,23.1
54601,37.7,39.2
54603,20.8,21.2
54610,20.3,20
54611,17.7,21.9
54612,15.6,20.5
54613,8.4,9.1
54614,12.7,21.9
54615,12,16.3
54616,11.8,14.5
54618,10.2,14.6
54619,11.1,14.6
54621,19.2,20.7
54622,15.2,23.5
54623,24.4,32.8
54624,14.4,18
54625,1,22.7
54626,14.7,16.2
54627,17.1,21.1
54628,13.8,14.7
54629,19.3,26.5
54630,19.8,26.8
54631,15.2,22.4
54632,16.2,26.3
54634,14.4,17.5
54635,12.2,14.9
54636,24.3,32
54637,13.1,15.4
54638,8.2,13.6
54639,17.9,22.5
54641,100,0
54642,14.9,19.3
54643,0,0
54644,18.9,20
54645,19,29.2
54646,11.9,14.5
54648,9.4,11.7
54650,33.5,35.9
54651,12,14.3
54652,17.1,22.1
54653,8.4,13.8
54654,25.8,12.8
54655,12.6,16.5
54656,17.6,21.9
54657,5.8,17.3
54658,19.2,29
54659,8.4,14
54660,18.5,20.5
54661,25.9,26.6
54664,15.3,24.3
54665,20.4,25.8
54666,12.3,18.9
54667,23.1,24
54669,30.9,34.5
54670,7.4,13
54701,37.3,39.8
54703,23.6,29
54720,39.4,30.1
54721,8.5,16.4
54722,10.7,13.7
54723,14.2,18.5
54724,15.9,16.2
54725,13.4,16.6
54726,10.7,12.4
54727,16.5,15.8
54728,15.6,18.9
54729,19.8,26.9
54730,25.8,25.5
54731,6.6,8.6
54732,12.7,15.9
54733,9.8,16.7
54734,14.9,20.1
54736,15.8,17.3
54737,14.5,22.7
54738,20.6,22.8
54739,23,24.6
54740,13.6,17.8
54741,7.7,13
54742,23.3,21.7
54745,16.3,15.5
54746,11.6,8.1
54747,11.4,16.4
54748,16.2,6.2
54749,14.3,18.8
54750,18.5,19.1
54751,34.5,29.9
54754,11.1,8.1
54755,16.2,18.1
54756,13.7,18.2
54757,16.2,23.6
54758,17.4,22.1
54759,16.5,23.1
54760,17,28.2
54761,17.3,16.4
54762,12,19.6
54763,12.5,18
54765,0,70
54766,8.2,10.5
54767,20.4,25.8
54768,6,11.9
54769,33.5,37.2
54770,16.2,16.8
54771,4.9,12.8
54772,19.6,20
54773,15.1,19.3
54801,25,23.7
54805,9.3,13.8
54806,25.2,28.3
54810,16.1,19.4
54812,13.3,14.9
54813,9.1,11.2
54814,25.3,32.8
54817,27.5,20.1
54819,11.6,14.8
54820,13.9,23.2
54821,29.4,23.9
54822,16.9,17.3
54824,10.5,14.2
54826,16.2,17.6
54827,31.2,45.6
54828,22.2,16.3
54829,22.2,25.4
54830,20.1,19.5
54832,30,30.1
54835,9.8,12.3
54836,8.9,20.3
54837,14,18.2
54838,16.8,21.4
54839,11.8,14.6
54840,17.2,19.7
54841,8.9,17.9
54842,18.4,16.4
54843,26.9,23
54844,40.8,40.8
54845,5.4,3.7
54846,13.3,25.7
54847,22.4,23.5
54848,14.3,19.9
54849,32.6,37.9
54850,52.3,62.7
54853,17,20.4
54854,23.1,27.8
54855,16.3,12.5
54856,14.2,20.8
54857,35.7,47.4
54858,11.4,18.9
54859,21.5,16.9
54861,0,14.9
54862,6,10.8
54864,24.4,33.3
54865,27.6,30.3
54867,11.5,12
54868,17.9,22.4
54870,22.6,25.4
54871,19.7,18
54872,17.3,18.6
54873,22.7,25.7
54874,19.9,24.6
54875,12.4,18.6
54876,23.2,26.3
54880,20.8,23.4
54888,16.9,15.6
54889,14.1,19.3
54891,39.3,43.4
54893,18.8,18.2
54895,17.4,13.6
54896,12.5,13.2
54901,19.2,26.9
54902,20.4,23.4
54904,36.7,39.1
54909,15.9,24.1
54911,27.5,30.8
54913,45.2,45
54914,26.1,26.8
54915,31.6,35.4
54921,11.1,13.4
54922,7.3,9.6
54923,11.3,19.8
54927,17.8,32.3
54928,11.8,18.7
54929,12.2,17.9
54930,14.9,13.5
54931,6,9.1
54932,14.6,30.9
54933,5.1,19.1
54934,2.7,5.7
54935,22.6,24.8
54937,24,24.7
54940,17.8,21.9
54941,33.2,31.1
54942,42.3,34.4
54943,9.3,13.8
54944,24.6,25.7
54945,22.5,23.3
54946,29.3,11.1
54947,18.8,24.2
54948,2.7,17.3
54949,10.8,14.1
54950,6.2,13
54952,22.3,24.6
54956,31.8,35.1
54960,13.8,16.1
54961,14.1,22.6
54962,10.9,12.1
54963,21.6,23.9
54964,15.1,23.8
54965,11.7,12.3
54966,7.8,11.7
54967,11.8,17.6
54968,14.6,14.5
54970,8.4,16.8
54971,24,23.1
54974,19.6,26.7
54977,20.1,18.8
54979,15.2,23
54980,8.8,0
54981,22.8,21.3
54982,16.6,16.4
54983,16.8,11.6
54984,15.1,21.8
54985,0,7.9
54986,24.3,24.8
61072,30.4,28.9
61080,18.8,20.4
