Team_Index,Team,Conference,W,L,Win_Pct,Sets,Aces,Assists,Block_Solos,Block_Assists,Digs,Kills,Errors,Attacks,Opp_Kills,Opp_Errors,Opp_Attacks
314,Wake Forest,ACC,17,12,0.586,116,135,1343,55,354,1535,1465,601,3793,1365,569,3737
315,Washington,Pac-12,16,15,0.516,119,212,1310,49,329,1576,1424,559,3919,1540,573,3964
316,Washington St.,Pac-12,24,7,0.774,114,176,1397,62,445,1466,1551,497,3681,1407,610,3773
317,Weber St.,Big Sky,21,9,0.7,114,201,1344,49,430,1802,1446,560,4117,1365,645,4094
318,West Virginia,Big 12,9,22,0.29,113,124,1270,56,327,1433,1392,653,3714,1453,544,3698
319,Western Caro.,SoCon,10,18,0.357,106,162,1193,45,318,1720,1288,564,3837,1334,564,3847
320,Western Ill.,OVC,9,21,0.3,122,157,1251,68,382,2090,1365,554,4453,1744,676,4879
321,Western Ky.,CUSA,29,4,0.879,113,222,1416,87,377,1483,1533,434,3623,1240,660,3625
322,Western Mich.,MAC,31,2,0.939,113,169,1519,46,308,1813,1616,497,4122,1392,618,4149
323,Wichita St.,AAC,22,8,0.733,112,115,1353,49,412,1721,1491,532,3858,1330,659,3989
324,William & Mary,CAA,13,15,0.464,105,147,1168,39,365,1499,1258,620,3658,1311,578,3650
325,Winthrop,Big South,14,13,0.519,98,128,1073,63,266,1486,1164,530,3462,1222,526,3493
326,Wisconsin,Big Ten,27,3,0.9,101,166,1317,46,516,1474,1404,368,3334,1125,611,3496
327,Wofford,SoCon,23,8,0.742,112,162,1348,131,321,1884,1450,551,4025,1329,675,4114
328,Wright St.,Horizon,21,11,0.656,114,195,1452,41,400,1924,1566,563,4290,1416,669,4306
329,Wyoming,Mountain West,21,9,0.7,109,153,1382,80,409,1418,1473,532,3626,1312,611,3627
330,Xavier,Big East,18,12,0.6,109,133,1324,72,253,1707,1424,597,3843,1392,591,3924
331,Yale,Ivy League,21,4,0.84,86,172,1103,62,232,1315,1202,385,3019,1035,462,3038
332,Youngstown St.,Horizon,9,20,0.31,114,156,1251,50,379,1736,1327,600,3970,1483,644,4156
